trace_id,timestamp,fecha,hora,franja,sonda_id,sonda_nombre,isp,asn_origen,ubicacion,tipo_sonda,ip_origen_observada,dst_ip,sitio_web,msm_id,destination_ip_responded_raw,respondio_destino,ultimo_hop_configurado,ultimo_hop_respondiente,hops_respondientes_unicos,rtt_destino_ms,firma_ip,tiene_hop_255,firma_asn,ultimo_asn_antes_destino
trace-180090809-32877-1784685753-1564,2026-07-21 22:02:33,2026-07-21,22:02:33,Nocturna (~22:00),32877,Airtek (Maracaibo),Airtek Solutions C.A.,AS61461,"Maracaibo, Venezuela",Nacional,38.25.177.234,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,10.0,5.0,3,87.185,192.168.1.1 > 38.25.128.1 > 206.41.108.77 > 190.168.5.91,True,AS61461,AS61461
trace-180090809-32877-1784728956-1565,2026-07-22 10:02:36,2026-07-22,10:02:36,Matutina (~10:00),32877,Airtek (Maracaibo),Airtek Solutions C.A.,AS61461,"Maracaibo, Venezuela",Nacional,38.25.177.234,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,10.0,5.0,3,106.459,192.168.1.1 > 38.25.128.1 > 206.41.108.77 > 190.168.5.91,True,AS61461,AS61461
trace-180090809-6978-1784685970-1566,2026-07-21 22:06:10,2026-07-21,22:06:10,Nocturna (~22:00),6978,Tiggee (Bogotá),Tiggee LLC,AS16552,"Bogotá, Colombia",Internacional,156.154.123.254,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,11.0,11.0,6,12.78,156.154.123.253 > 200.25.30.134 > 206.223.124.135 > 179.1.65.78 > 190.97.228.254 > 190.168.5.91,False,AS16552 > AS7195 > AS18678 > AS263703 > AS23007,AS23007
trace-180090809-6978-1784729167-1567,2026-07-22 10:06:07,2026-07-22,10:06:07,Matutina (~10:00),6978,Tiggee (Bogotá),Tiggee LLC,AS16552,"Bogotá, Colombia",Internacional,156.154.123.254,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,11.0,11.0,6,25.172,156.154.123.253 > 200.25.30.134 > 206.223.124.135 > 179.1.65.78 > 190.97.228.254 > 190.168.5.91,False,AS16552 > AS7195 > AS18678 > AS263703 > AS23007,AS23007
trace-180090809-1011292-1784685798-1568,2026-07-21 22:03:18,2026-07-21,22:03:18,Nocturna (~22:00),1011292,Satnet (Quito),Satnet,AS14522,"Quito, Ecuador",Internacional,186.69.158.99,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,15.0,10.0,7,77.705,172.17.0.1 > 186.69.158.97 > 10.200.36.106 > 10.104.201.142 > 204.199.157.161 > 213.248.95.208 > 62.115.177.15 > 190.168.5.91,True,AS14522 > AS3549 > AS1299,AS1299
trace-180090809-1011292-1784729010-1569,2026-07-22 10:03:30,2026-07-22,10:03:30,Matutina (~10:00),1011292,Satnet (Quito),Satnet,AS14522,"Quito, Ecuador",Internacional,186.69.158.99,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,15.0,10.0,7,96.928,172.17.0.1 > 186.69.158.97 > 10.200.36.106 > 10.104.201.142 > 204.199.157.161 > 213.248.95.208 > 62.115.177.15 > 190.168.5.91,True,AS14522 > AS3549 > AS1299,AS1299
trace-180090809-7594-1784685978-1570,2026-07-21 22:06:18,2026-07-21,22:06:18,Nocturna (~22:00),7594,Inter (Barquisimeto),Inter / Corporación Telemic,AS21826,"Barquisimeto, Venezuela",Nacional,200.82.230.154,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,16.0,16.0,13,60.353,200.82.230.155 > 10.1.227.41 > 10.1.231.226 > 154.54.167.186 > 154.54.0.222 > 154.24.5.198 > 38.142.164.197 > 179.1.65.78 > 172.24.1.157 > 172.24.0.126 > 172.24.0.133 > 190.97.228.254 > 190.168.5.91,False,AS21826 > AS174 > AS18678 > AS263703 > AS23007,AS23007
trace-180090809-7594-1784729183-1571,2026-07-22 10:06:23,2026-07-22,10:06:23,Matutina (~10:00),7594,Inter (Barquisimeto),Inter / Corporación Telemic,AS21826,"Barquisimeto, Venezuela",Nacional,200.82.230.154,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,16.0,16.0,13,79.676,200.82.230.155 > 10.1.227.41 > 10.1.231.226 > 154.54.167.186 > 154.54.0.222 > 154.24.5.198 > 38.142.164.197 > 179.1.65.78 > 172.24.1.157 > 172.24.0.126 > 172.24.0.133 > 190.97.228.254 > 190.168.5.91,False,AS21826 > AS174 > AS18678 > AS263703 > AS23007,AS23007
trace-180090809-1014400-1784685808-1572,2026-07-21 22:03:28,2026-07-21,22:03:28,Nocturna (~22:00),1014400,NetUno (Caracas),NetUno,AS11562,"Caracas, Venezuela",Nacional,190.6.19.190,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,16.0,16.0,15,13.498,192.168.122.1 > 172.16.0.1 > 10.27.0.1 > 172.19.0.137 > 172.19.0.130 > 172.19.0.161 > 172.30.101.10 > 154.39.137.1 > 172.31.255.9 > 172.24.1.186 > 172.24.1.186 > 172.24.0.122 > 172.24.0.133 > 190.97.228.254 > 190.168.5.91,False,AS263703 > AS23007,AS23007
trace-180090809-1014400-1784729001-1573,2026-07-22 10:03:21,2026-07-22,10:03:21,Matutina (~10:00),1014400,NetUno (Caracas),NetUno,AS11562,"Caracas, Venezuela",Nacional,190.6.19.190,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,16.0,16.0,15,32.73,192.168.122.1 > 172.16.0.1 > 10.27.0.1 > 172.19.0.137 > 172.19.0.130 > 172.19.0.161 > 172.30.101.10 > 154.39.137.1 > 172.31.255.9 > 172.24.1.186 > 172.24.1.186 > 172.24.0.122 > 172.24.0.133 > 190.97.228.254 > 190.168.5.91,False,AS263703 > AS23007,AS23007
