execution_id,timestamp,fecha,hora,franja,sonda_id,sonda_nombre,isp,asn_origen,ubicacion,tipo_sonda,ip_origen_observada,src_addr,dst_ip,sitio_web,msm_id,sent,rcvd,estado_ping,alcanzable_icmp,packet_loss_pct,rtt_exec_ms,rtt_avg_ripe_ms,rtt_min_ripe_ms,rtt_max_ripe_ms,n_rtt_validos
ping-180880310-1014400-1782223431-1250,2026-06-23 10:03:51,2026-06-23,10:03:51,Matutina (~10:00),1014400,NetUno (Caracas),NetUno,AS11562,"Caracas, Venezuela",Nacional,190.153.16.65,192.168.122.242,150.185.169.243,Intranet ULA,180880310,3,3,Respuesta completa,True,0.0,49.084483666666664,49.084483666666664,48.104404,49.85685,3
ping-180880310-7594-1782180073-1251,2026-06-22 22:01:13,2026-06-22,22:01:13,Nocturna (~22:00),7594,Inter (Barquisimeto),Inter / Corporación Telemic,AS21826,"Barquisimeto, Venezuela",Nacional,200.82.230.154,200.82.230.154,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-7594-1782223271-1252,2026-06-23 10:01:11,2026-06-23,10:01:11,Matutina (~10:00),7594,Inter (Barquisimeto),Inter / Corporación Telemic,AS21826,"Barquisimeto, Venezuela",Nacional,200.82.230.154,200.82.230.154,150.185.169.243,Intranet ULA,180880310,2,2,Respuesta completa,True,0.0,101.291552,101.291552,96.070429,106.512675,2
ping-180880310-1010206-1782180391-1253,2026-06-22 22:06:31,2026-06-22,22:06:31,Nocturna (~22:00),1010206,AT&T (Miami),"AT&T Enterprises, LLC",AS7018,"Miami, Estados Unidos",Internacional,99.26.108.135,192.168.3.238,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1010206-1782223587-1254,2026-06-23 10:06:27,2026-06-23,10:06:27,Matutina (~10:00),1010206,AT&T (Miami),"AT&T Enterprises, LLC",AS7018,"Miami, Estados Unidos",Internacional,99.26.108.135,192.168.3.238,150.185.169.243,Intranet ULA,180880310,3,3,Respuesta completa,True,0.0,69.41868566666666,69.41868566666666,66.457699,71.421737,3
ping-180880310-1003784-1782180232-1255,2026-06-22 22:03:52,2026-06-22,22:03:52,Nocturna (~22:00),1003784,Movistar (Maracay),Telefónica Venezolana,AS6306,"Maracay, Venezuela",Nacional,186.24.57.243,172.18.0.2,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1003784-1782223436-1256,2026-06-23 10:03:56,2026-06-23,10:03:56,Matutina (~10:00),1003784,Movistar (Maracay),Telefónica Venezolana,AS6306,"Maracay, Venezuela",Nacional,186.24.57.243,172.18.0.2,150.185.169.243,Intranet ULA,180880310,3,2,Respuesta parcial,True,33.33333333333333,68.597329,68.597329,66.100579,71.094079,2
ping-180880310-1010818-1782180229-1257,2026-06-22 22:03:49,2026-06-22,22:03:49,Nocturna (~22:00),1010818,CANTV (Caracas),CANTV,AS8048,"Caracas, Venezuela",Nacional,190.205.214.78,192.168.100.13,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1010818-1782223427-1258,2026-06-23 10:03:47,2026-06-23,10:03:47,Matutina (~10:00),1010818,CANTV (Caracas),CANTV,AS8048,"Caracas, Venezuela",Nacional,190.205.214.78,192.168.100.13,150.185.169.243,Intranet ULA,180880310,3,3,Respuesta completa,True,0.0,78.58657433333333,78.58657433333333,75.333981,80.430809,3
ping-180880310-32877-1782180369-1259,2026-06-22 22:06:09,2026-06-22,22:06:09,Nocturna (~22:00),32877,Airtek (Maracaibo),Airtek Solutions C.A.,AS61461,"Maracaibo, Venezuela",Nacional,38.25.177.234,192.168.1.186,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-32877-1782223564-1260,2026-06-23 10:06:04,2026-06-23,10:06:04,Matutina (~10:00),32877,Airtek (Maracaibo),Airtek Solutions C.A.,AS61461,"Maracaibo, Venezuela",Nacional,38.25.177.234,192.168.1.186,150.185.169.243,Intranet ULA,180880310,3,3,Respuesta completa,True,0.0,93.96694933333333,93.96694933333333,84.805597,98.665504,3
ping-180880310-32877-1782612361-1261,2026-06-27 22:06:01,2026-06-27,22:06:01,Nocturna (~22:00),32877,Airtek (Maracaibo),Airtek Solutions C.A.,AS61461,"Maracaibo, Venezuela",Nacional,38.25.177.234,192.168.1.186,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-32877-1782655562-1262,2026-06-28 10:06:02,2026-06-28,10:06:02,Matutina (~10:00),32877,Airtek (Maracaibo),Airtek Solutions C.A.,AS61461,"Maracaibo, Venezuela",Nacional,38.25.177.234,192.168.1.186,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1010206-1782612384-1263,2026-06-27 22:06:24,2026-06-27,22:06:24,Nocturna (~22:00),1010206,AT&T (Miami),"AT&T Enterprises, LLC",AS7018,"Miami, Estados Unidos",Internacional,99.26.108.135,192.168.3.238,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1010206-1782655585-1264,2026-06-28 10:06:25,2026-06-28,10:06:25,Matutina (~10:00),1010206,AT&T (Miami),"AT&T Enterprises, LLC",AS7018,"Miami, Estados Unidos",Internacional,99.26.108.135,192.168.3.238,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1014400-1782612227-1265,2026-06-27 22:03:47,2026-06-27,22:03:47,Nocturna (~22:00),1014400,NetUno (Caracas),NetUno,AS11562,"Caracas, Venezuela",Nacional,190.6.19.96,192.168.122.242,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1014400-1782655435-1266,2026-06-28 10:03:55,2026-06-28,10:03:55,Matutina (~10:00),1014400,NetUno (Caracas),NetUno,AS11562,"Caracas, Venezuela",Nacional,190.6.19.96,192.168.122.242,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-7594-1782612074-1267,2026-06-27 22:01:14,2026-06-27,22:01:14,Nocturna (~22:00),7594,Inter (Barquisimeto),Inter / Corporación Telemic,AS21826,"Barquisimeto, Venezuela",Nacional,200.82.230.154,200.82.230.154,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-7594-1782655276-1268,2026-06-28 10:01:16,2026-06-28,10:01:16,Matutina (~10:00),7594,Inter (Barquisimeto),Inter / Corporación Telemic,AS21826,"Barquisimeto, Venezuela",Nacional,200.82.230.154,200.82.230.154,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1011292-1782612235-1269,2026-06-27 22:03:55,2026-06-27,22:03:55,Nocturna (~22:00),1011292,Satnet (Quito),Satnet,AS14522,"Quito, Ecuador",Internacional,186.69.158.99,172.17.0.2,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1011292-1782655424-1270,2026-06-28 10:03:44,2026-06-28,10:03:44,Matutina (~10:00),1011292,Satnet (Quito),Satnet,AS14522,"Quito, Ecuador",Internacional,186.69.158.99,172.17.0.2,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1003784-1782612236-1271,2026-06-27 22:03:56,2026-06-27,22:03:56,Nocturna (~22:00),1003784,Movistar (Maracay),Telefónica Venezolana,AS6306,"Maracay, Venezuela",Nacional,186.24.57.243,172.18.0.2,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1003784-1782655425-1272,2026-06-28 10:03:45,2026-06-28,10:03:45,Matutina (~10:00),1003784,Movistar (Maracay),Telefónica Venezolana,AS6306,"Maracay, Venezuela",Nacional,186.24.57.243,172.18.0.2,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-6978-1782612110-1273,2026-06-27 22:01:50,2026-06-27,22:01:50,Nocturna (~22:00),6978,Tiggee (Bogotá),Tiggee LLC,AS16552,"Bogotá, Colombia",Internacional,156.154.123.254,156.154.123.254,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-6978-1782655318-1274,2026-06-28 10:01:58,2026-06-28,10:01:58,Matutina (~10:00),6978,Tiggee (Bogotá),Tiggee LLC,AS16552,"Bogotá, Colombia",Internacional,156.154.123.254,156.154.123.254,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-7594-1782525677-1275,2026-06-26 22:01:17,2026-06-26,22:01:17,Nocturna (~22:00),7594,Inter (Barquisimeto),Inter / Corporación Telemic,AS21826,"Barquisimeto, Venezuela",Nacional,200.82.230.154,200.82.230.154,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-7594-1782568877-1276,2026-06-27 10:01:17,2026-06-27,10:01:17,Matutina (~10:00),7594,Inter (Barquisimeto),Inter / Corporación Telemic,AS21826,"Barquisimeto, Venezuela",Nacional,200.82.230.154,200.82.230.154,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
